,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
0,90004,64000,10466,1962,94,16540,39,216,876,31987,75.5%,,10.5%,6.9%,32.7 minutes,47.2%,39.6%,2.6%,3.2%,7.4%
1,90005,39902,3039,1788,35,12661,9,81,490,19578,69.2%,,5.9%,7.8%,34.7 minutes,51.0%,33.9%,2.7%,4.3%,8.1%
2,90006,62108,1861,1862,77,10822,32,146,311,44074,56.4%,,3.3%,9.1%,35.8 minutes,49.9%,35.3%,3.3%,4.3%,7.2%
3,90007,42581,7053,4306,39,6243,34,207,871,22167,64.8%,,8.1%,10.2%,30.2 minutes,70.0%,22.1%,1.9%,2.7%,3.3%
4,90008,32519,731,22152,63,820,24,173,803,7561,83.4%,,13.9%,8.6%,33.6 minutes,44.2%,32.8%,3.1%,5.9%,14.0%
5,90010,3574,723,160,3,2503,1,4,63,343,94.2%,,13.6%,5.4%,27.4 minutes,42.5%,39.9%,2.1%,3.7%,11.8%
6,90012,33009,4342,4085,46,13637,48,57,462,8426,66.4%,,9.9%,5.2%,28.3 minutes,50.9%,32.1%,3.6%,6.3%,7.0%
7,90013,11835,3301,3731,103,1814,14,34,366,2409,83.2%,,12.7%,10.8%,32.4 minutes,60.0%,20.0%,4.5%,5.1%,10.4%
8,90014,7294,2158,2005,60,1135,10,18,240,1379,83.3%,,13.4%,8.9%,33.1 minutes,58.8%,18.6%,3.6%,5.5%,13.5%
9,90015,19655,1944,1240,22,2638,9,60,198,12875,64.7%,,10.7%,7.2%,32.2 minutes,53.7%,33.1%,2.8%,4.0%,6.3%
10,90016,47754,2127,17291,103,1434,34,247,898,25462,75.0%,,7.0%,7.3%,32.2 minutes,45.1%,36.1%,3.7%,4.7%,10.3%
11,90017,26141,2335,1296,58,3198,23,67,265,16526,56.0%,,9.1%,5.5%,32.6 minutes,58.0%,29.3%,3.0%,3.0%,6.7%
12,90018,52379,1833,15111,98,1777,41,328,810,29312,68.2%,,4.8%,9.1%,34.4 minutes,48.6%,34.3%,3.6%,4.7%,8.8%
13,90019,69512,8068,14712,113,10047,37,351,1429,29701,75.5%,,10.7%,6.8%,32.8 minutes,45.3%,38.2%,3.1%,4.2%,9.2%
14,90020,40746,4030,2140,42,18407,22,132,556,13638,82.2%,,8.9%,5.8%,30.8 minutes,46.9%,40.9%,2.8%,2.8%,6.5%
15,90021,2996,858,1200,29,156,3,11,63,1631,59.6%,,4.0%,11.6%,27.4 minutes,63.6%,19.7%,1.8%,4.6%,10.4%
16,90022,68154,1163,140,99,449,12,78,86,65152,49.6%,,1.2%,10.7%,30.5 minutes,45.7%,40.1%,3.6%,5.3%,5.3%
17,90023,47279,508,119,49,236,16,62,59,44854,43.1%,,1.8%,8.2%,27.5 minutes,47.7%,40.4%,3.2%,3.9%,4.8%
18,90024,50450,27197,969,36,12520,48,117,2251,4314,99.1%,,39.6%,7.8%,22.0 minutes,69.9%,21.5%,0.6%,3.3%,4.7%
19,90025,47187,24328,1129,41,8288,38,152,1817,6354,93.4%,,27.2%,4.6%,24.6 minutes,53.5%,33.0%,1.3%,3.1%,9.1%
20,90026,68526,14329,1752,140,11551,40,196,1160,38701,77.7%,,11.3%,7.3%,31.4 minutes,53.4%,33.5%,3.0%,3.5%,6.6%
21,90027,46703,26767,1320,86,5917,32,118,1344,9567,90.9%,,19.2%,7.5%,30.3 minutes,48.7%,35.5%,2.1%,5.5%,8.3%
22,90028,31568,13991,2168,96,2324,43,100,763,9229,86.0%,,11.5%,8.5%,30.8 minutes,60.8%,22.0%,2.5%,4.7%,10.0%
23,90029,40819,7898,1075,57,6203,21,116,587,22660,69.0%,,6.0%,7.9%,33.3 minutes,49.1%,35.2%,2.9%,4.7%,8.0%
24,90031,39498,1985,399,68,9882,15,63,261,26643,56.7%,,5.3%,7.7%,32.3 minutes,44.4%,40.1%,2.7%,6.3%,6.5%
25,90032,47963,2129,843,106,4996,12,61,267,37372,63.4%,,5.0%,9.9%,31.1 minutes,45.8%,38.3%,3.2%,5.2%,7.5%
26,90033,49861,1064,690,71,2058,9,119,138,44703,45.1%,,2.3%,7.5%,31.8 minutes,50.0%,35.4%,3.7%,4.9%,5.9%
27,90034,58266,21322,5836,116,10958,137,351,2016,17228,92.0%,,22.6%,4.9%,27.5 minutes,49.2%,36.8%,1.9%,2.8%,9.3%
28,90035,31020,20373,2474,48,1768,17,179,1131,2428,95.1%,,23.8%,4.9%,25.3 minutes,41.2%,41.7%,2.0%,6.0%,9.2%
29,90036,38475,23054,2061,45,7467,31,131,1085,2991,99.1%,,24.0%,4.9%,27.2 minutes,49.4%,37.4%,1.7%,3.2%,8.3%
30,90038,28558,7858,1089,24,2289,27,140,434,17056,72.2%,,7.5%,7.5%,33.9 minutes,56.0%,31.3%,2.5%,3.1%,7.1%
31,90039,28843,10264,573,36,5161,36,60,710,11674,86.8%,,16.7%,5.3%,30.5 minutes,42.1%,42.5%,2.0%,5.1%,8.3%
32,90040,12995,409,60,48,134,7,26,27,11809,54.8%,,2.5%,7.8%,26.7 minutes,40.1%,39.9%,3.4%,6.7%,10.0%
33,90041,28812,8454,552,84,7631,27,60,748,9869,89.4%,,15.7%,6.1%,31.8 minutes,42.0%,41.0%,2.6%,6.7%,7.7%
34,90042,64014,8765,1289,174,7466,40,145,854,43697,73.0%,,9.8%,7.7%,32.1 minutes,46.4%,38.7%,2.3%,4.1%,8.6%
35,90043,44963,1002,28877,71,359,33,274,1124,13049,80.7%,,10.3%,11.4%,32.7 minutes,46.5%,33.9%,2.7%,6.4%,10.5%
36,90045,41735,20086,5420,56,4657,130,157,1771,7203,97.9%,,22.4%,5.8%,25.2 minutes,47.0%,39.6%,1.1%,4.3%,7.9%
37,90046,51653,37931,1625,83,2592,38,152,1373,4787,97.7%,,18.2%,6.0%,28.5 minutes,54.5%,28.0%,1.6%,4.9%,11.0%
38,90048,23047,16898,625,20,1552,14,54,655,1579,98.0%,,29.3%,5.1%,25.3 minutes,50.2%,34.8%,0.9%,3.9%,10.1%
39,90049,36091,28631,497,32,3048,23,88,1229,1934,100.0%,,38.7%,4.5%,25.1 minutes,37.6%,47.3%,1.3%,4.8%,9.0%
40,90063,54918,761,190,79,591,2,81,79,53975,47.3%,,1.4%,10.2%,29.6 minutes,42.8%,42.8%,3.9%,4.6%,5.8%
41,90064,27419,15592,630,24,4229,23,111,969,3825,97.7%,,31.8%,3.1%,24.4 minutes,38.5%,48.0%,0.7%,4.3%,8.5%
42,90066,60107,26331,1979,103,7885,124,246,1841,16768,89.0%,,19.7%,5.5%,26.9 minutes,42.8%,43.0%,1.7%,4.1%,8.3%
43,90067,2388,2006,23,2,251,2,0,52,88,98.2%,,28.4%,4.2%,21.2 minutes,20.2%,49.5%,0.0%,20.4%,9.8%
44,90068,21757,16784,967,46,1467,11,89,723,2199,99.6%,,25.7%,8.0%,29.8 minutes,50.9%,35.0%,0.6%,3.6%,10.0%
45,90069,20728,16314,583,21,1091,22,66,555,1831,99.3%,,22.3%,5.3%,26.2 minutes,60.9%,25.0%,1.3%,3.6%,9.3%
46,90077,9039,7618,138,5,769,2,31,356,458,98.9%,,43.3%,4.9%,30.4 minutes,23.9%,61.4%,1.2%,4.4%,9.1%
47,90201,104260,3357,608,207,565,38,166,255,96083,46.5%,,1.1%,8.8%,30.7 minutes,46.5%,42.5%,3.3%,3.5%,4.2%
48,90210,21257,18094,367,7,1245,7,57,872,1092,96.7%,,31.8%,5.0%,26.0 minutes,27.3%,58.0%,0.7%,8.2%,5.8%
49,90211,8245,6214,197,6,1022,1,29,424,541,98.6%,,28.1%,5.6%,25.0 minutes,37.4%,43.3%,2.7%,5.5%,11.1%
50,90212,13100,8881,299,20,1151,4,26,493,681,99.8%,,33.5%,6.3%,23.9 minutes,36.4%,47.2%,2.9%,4.1%,9.4%
51,90220,52006,1052,19198,95,246,416,85,516,27720,66.3%,,3.1%,11.0%,31.0 minutes,44.9%,37.6%,3.1%,5.9%,8.5%
52,90230,33160,12197,3189,62,4587,82,176,1148,10325,88.4%,,21.9%,5.9%,28.7 minutes,39.5%,43.7%,1.1%,5.1%,10.6%
53,90232,15022,7261,946,22,2263,36,84,605,3932,93.8%,,25.2%,4.2%,25.0 minutes,39.7%,45.2%,1.3%,4.4%,9.3%
54,90240,26805,5099,559,44,2166,38,26,242,17702,75.2%,,7.4%,4.4%,30.0 minutes,37.1%,46.9%,2.4%,6.1%,7.6%
55,90241,45457,8198,1159,86,2711,67,67,395,29716,77.4%,,7.1%,5.6%,30.5 minutes,38.3%,45.5%,3.0%,4.6%,8.6%
56,90242,42584,6489,2116,82,2607,65,126,434,31578,77.7%,,5.8%,5.4%,30.4 minutes,40.4%,43.0%,2.8%,4.5%,9.2%
57,90245,17143,11515,321,40,1427,30,56,656,2609,96.8%,,19.8%,4.6%,24.2 minutes,34.1%,49.7%,1.3%,3.6%,11.2%
58,90247,48390,3040,8698,64,11755,325,104,948,22553,78.0%,,5.4%,7.1%,27.6 minutes,36.9%,45.0%,2.7%,6.3%,9.1%
59,90248,10743,1127,1449,28,3051,67,30,246,3949,82.7%,,6.2%,6.2%,25.6 minutes,34.4%,46.5%,1.7%,7.1%,10.3%
60,90249,27179,3537,7930,44,4318,101,83,608,10048,80.3%,,5.4%,6.3%,28.1 minutes,38.3%,44.6%,2.6%,5.6%,8.9%
61,90250,98378,11205,22850,192,6382,1060,433,1766,49305,75.2%,,5.7%,7.3%,28.8 minutes,44.0%,39.7%,2.7%,4.3%,9.3%
62,90254,20008,15780,216,28,1097,43,52,658,1632,101.2%,,27.2%,3.7%,32.8 minutes,41.4%,43.8%,0.9%,3.6%,10.2%
63,90255,76856,1211,238,45,395,17,110,88,72962,43.7%,,1.6%,8.3%,31.0 minutes,45.9%,41.4%,3.5%,4.0%,5.1%
64,90260,36079,6496,2940,100,3780,331,144,768,20365,74.8%,,5.4%,6.0%,26.6 minutes,40.2%,44.5%,2.2%,3.8%,9.4%
65,90265,18657,15337,301,27,627,19,28,478,1299,98.3%,,28.6%,5.5%,34.5 minutes,30.0%,51.9%,1.5%,4.9%,11.7%
66,90266,36083,27873,282,44,2992,44,84,1376,2440,100.5%,,34.2%,4.0%,30.5 minutes,29.0%,58.4%,0.8%,3.6%,8.2%
67,90270,27970,498,46,24,61,14,28,25,26676,42.2%,,0.9%,7.3%,30.6 minutes,48.2%,41.8%,2.9%,3.1%,4.0%
68,90272,23483,19881,165,20,1215,9,61,596,1039,100.6%,,40.5%,3.9%,29.2 minutes,20.8%,63.2%,1.6%,5.5%,8.9%
69,90274,25868,17523,335,26,4983,20,47,842,1433,100.2%,,34.2%,2.4%,34.4 minutes,20.2%,67.9%,0.7%,6.0%,5.3%
70,90275,43155,23424,988,54,12047,39,92,1598,3562,98.9%,,32.2%,3.3%,33.3 minutes,21.5%,62.9%,0.9%,7.0%,7.6%
71,90277,35708,25424,696,79,3491,57,157,1271,4118,99.2%,,26.7%,3.9%,30.5 minutes,29.9%,50.8%,1.8%,4.2%,13.3%
72,90278,41164,24305,1220,101,5326,130,159,1826,7004,96.7%,,19.5%,4.9%,27.9 minutes,30.7%,53.6%,1.9%,3.5%,10.3%
73,90280,96584,3233,585,110,647,69,147,163,89442,53.2%,,2.1%,9.1%,32.0 minutes,44.4%,41.9%,3.5%,4.0%,6.2%
74,90290,6059,5455,80,20,196,1,23,181,412,99.3%,,31.1%,9.4%,41.8 minutes,23.7%,58.6%,1.5%,1.9%,14.4%
75,90291,27668,18885,1415,93,1214,45,115,906,5668,94.7%,,22.9%,6.5%,27.6 minutes,48.8%,36.1%,2.0%,2.4%,10.7%
76,90292,22804,15917,1028,28,1969,30,70,765,1769,99.0%,,28.5%,4.9%,30.5 minutes,41.2%,36.9%,2.5%,4.1%,15.3%
77,90293,12830,8396,675,23,1196,19,40,499,1284,98.3%,,23.3%,4.9%,27.7 minutes,46.2%,37.9%,1.0%,3.5%,11.4%
78,90302,31509,1266,14297,67,345,65,105,655,12615,78.9%,,9.1%,11.6%,32.6 minutes,47.0%,34.8%,2.7%,4.0%,11.6%
79,90303,25494,351,8891,41,150,171,78,298,16196,65.4%,,3.6%,10.4%,31.4 minutes,44.5%,39.8%,3.6%,4.4%,7.7%
80,90304,27395,830,1116,37,314,236,53,124,25500,47.8%,,1.4%,8.8%,25.7 minutes,45.4%,44.1%,3.7%,2.3%,4.5%
81,90401,7730,4681,362,19,696,6,30,255,673,99.2%,,28.5%,7.5%,24.9 minutes,53.1%,26.7%,2.9%,1.9%,15.4%
82,90402,11573,10348,118,9,841,14,27,345,548,100.4%,,36.9%,6.3%,27.3 minutes,29.0%,54.9%,1.6%,4.2%,10.4%
83,90403,24890,19214,440,28,2044,20,96,893,1790,99.7%,,34.3%,4.6%,27.1 minutes,44.9%,38.3%,2.1%,3.1%,11.6%
84,90404,22519,11216,1608,48,2265,39,69,781,5334,91.2%,,19.8%,7.9%,24.3 minutes,46.9%,33.3%,2.6%,5.4%,11.7%
85,90405,29274,19482,852,72,2223,39,96,954,3468,97.0%,,30.0%,5.7%,26.3 minutes,46.4%,36.0%,1.2%,4.3%,12.1%
86,90501,44027,11107,2165,92,10075,281,130,1155,18175,84.3%,,9.4%,6.4%,27.3 minutes,39.2%,44.8%,2.1%,4.6%,9.3%
87,90503,45201,18291,1072,88,17857,95,196,1662,5122,96.0%,,17.4%,4.6%,27.8 minutes,30.2%,53.7%,1.5%,6.0%,8.5%
88,90504,34091,9946,1173,71,12085,160,121,1471,7075,91.3%,,11.5%,6.8%,27.2 minutes,34.0%,50.2%,1.4%,5.1%,9.2%
89,90505,37776,18179,760,67,11957,101,92,1429,4093,96.8%,,19.0%,4.1%,29.6 minutes,26.9%,56.0%,1.9%,6.7%,8.6%
90,90640,64371,5331,380,98,6638,37,65,371,49629,71.8%,,5.5%,6.4%,35.5 minutes,42.0%,40.9%,3.0%,6.6%,7.5%
91,90660,64597,3272,365,114,1464,15,50,253,57395,68.6%,,3.1%,6.7%,31.2 minutes,39.8%,43.6%,3.0%,5.5%,8.1%
92,90680,30808,6725,595,69,6803,124,51,519,15059,71.5%,,5.2%,6.7%,29.5 minutes,38.6%,44.8%,3.2%,4.4%,9.0%
93,90706,78801,14971,10374,229,8720,567,162,1508,40084,78.0%,,4.6%,6.5%,29.8 minutes,39.1%,43.7%,3.1%,4.7%,9.5%
94,90712,32177,13188,3288,99,4630,301,80,1125,8788,91.6%,,9.3%,4.5%,29.6 minutes,35.4%,47.3%,2.2%,5.5%,9.6%
95,90717,21968,9188,1003,81,3001,133,60,775,7077,87.8%,,9.4%,6.4%,26.1 minutes,35.4%,44.7%,2.2%,5.3%,12.4%
96,90723,55729,3015,5980,86,1531,396,61,482,42548,58.7%,,2.7%,7.1%,29.0 minutes,42.9%,42.8%,3.1%,3.9%,7.2%
97,90731,61921,19325,3986,220,2482,254,153,1510,31732,77.8%,,6.5%,8.7%,28.9 minutes,41.5%,39.1%,3.5%,4.7%,11.1%
98,90732,22075,12142,886,59,1649,31,55,691,5602,92.2%,,12.3%,7.1%,29.0 minutes,29.3%,51.3%,1.7%,6.2%,11.6%
99,90740,24644,18192,259,38,2270,49,60,575,2286,95.7%,,19.2%,3.9%,30.9 minutes,22.8%,48.6%,1.3%,12.5%,14.8%
100,90744,58255,2532,1473,103,1088,366,85,376,47792,56.1%,,1.6%,6.7%,25.0 minutes,44.1%,41.9%,3.1%,4.5%,6.4%
101,90745,58613,4804,4262,108,20057,1729,107,1340,24844,78.5%,,4.8%,8.7%,25.8 minutes,39.2%,44.7%,1.9%,6.0%,8.2%
102,90746,26965,1407,16577,33,1939,350,107,630,4947,87.0%,,12.6%,8.5%,30.5 minutes,39.9%,41.3%,2.7%,6.9%,9.2%
103,90802,40444,13522,6380,175,2972,219,132,1309,14638,87.0%,,16.0%,5.8%,35.5 minutes,52.6%,29.7%,2.9%,2.9%,11.9%
104,90803,32134,23744,895,92,1810,54,76,869,4491,97.4%,,25.9%,5.2%,32.0 minutes,38.3%,40.4%,2.3%,3.8%,15.3%
105,90804,41335,9870,5568,124,6054,137,129,1266,17163,75.1%,,9.0%,6.8%,29.0 minutes,53.1%,32.1%,2.9%,2.6%,9.4%
106,90805,97182,8490,18581,217,9816,2277,204,1773,52166,68.8%,,2.8%,10.9%,30.3 minutes,45.2%,39.3%,3.3%,4.0%,8.1%
107,90806,42918,3838,7404,108,8275,500,65,849,21360,68.3%,,5.3%,7.8%,29.0 minutes,44.1%,40.0%,3.1%,4.8%,8.1%
108,90807,33693,12074,5089,112,5134,234,50,1242,7546,93.7%,,17.0%,4.7%,30.0 minutes,37.3%,44.4%,2.2%,5.7%,10.3%
109,90808,39191,24376,1288,95,3071,188,95,1399,7720,95.5%,,16.9%,4.0%,29.2 minutes,30.5%,53.6%,1.3%,5.4%,9.2%
110,90810,37958,2248,4373,73,8655,966,71,833,19516,72.5%,,3.0%,9.1%,27.9 minutes,44.7%,39.6%,2.6%,4.9%,8.2%
111,90813,61871,3999,7731,163,7888,359,126,950,37695,55.5%,,3.2%,9.6%,30.4 minutes,48.1%,35.6%,3.9%,4.7%,7.6%
112,90814,19029,10788,1387,82,1402,61,55,740,4616,93.4%,,18.1%,5.2%,32.0 minutes,46.8%,35.0%,1.4%,3.8%,13.0%
113,90815,40393,24438,1813,117,4392,133,129,1543,7168,95.6%,,18.2%,5.4%,29.3 minutes,39.4%,44.1%,1.4%,5.7%,9.4%
114,91001,38239,12795,9499,79,1703,25,164,1392,10469,91.2%,,20.6%,5.4%,31.3 minutes,37.0%,48.4%,1.6%,4.7%,8.3%
115,91011,20975,13118,101,4,5187,4,50,545,1271,99.6%,,37.2%,3.0%,27.7 minutes,26.8%,63.4%,0.6%,4.4%,4.8%
116,91020,8569,4606,90,19,2295,12,15,214,1164,93.2%,,15.0%,5.7%,30.0 minutes,33.1%,47.6%,1.0%,8.1%,10.3%
117,91030,26276,11179,736,25,7904,6,81,920,4765,97.6%,,30.2%,4.8%,29.1 minutes,34.9%,49.1%,1.6%,4.4%,10.1%
118,91040,19867,12836,239,61,1687,15,50,515,4969,90.2%,,9.4%,5.9%,31.9 minutes,29.6%,51.3%,1.6%,6.4%,11.0%
119,91042,27553,16450,405,53,2540,13,68,916,7140,83.7%,,9.1%,6.3%,32.3 minutes,33.3%,49.0%,2.0%,5.3%,10.3%
120,91101,21058,8112,1596,36,4451,13,69,597,5586,93.1%,,27.9%,5.6%,28.9 minutes,45.8%,35.8%,2.5%,5.5%,10.5%
121,91103,28527,5210,5516,41,1900,16,70,537,14190,76.8%,,13.7%,5.6%,28.9 minutes,41.8%,40.9%,2.4%,6.3%,8.6%
122,91104,39280,15234,3708,47,2618,73,132,1103,13836,84.6%,,17.7%,6.6%,26.5 minutes,36.1%,46.3%,2.7%,5.6%,9.3%
123,91105,11896,7383,503,18,1414,4,21,316,1595,97.8%,,40.0%,4.9%,31.7 minutes,27.9%,52.4%,1.7%,5.7%,12.3%
124,91106,25231,10280,1530,36,5204,22,82,757,6318,94.5%,,33.7%,4.3%,26.3 minutes,46.7%,41.9%,1.2%,3.2%,7.1%
125,91107,32486,15389,1659,59,6333,21,101,1058,8320,92.7%,,23.2%,5.1%,29.0 minutes,31.9%,51.2%,2.0%,6.1%,8.8%
126,91108,13871,5003,54,1,7065,2,25,337,874,97.6%,,40.8%,2.9%,30.1 minutes,23.1%,65.3%,0.1%,6.5%,5.0%
127,91201,23847,15652,271,11,2010,9,58,893,3877,80.1%,,12.5%,8.5%,26.4 minutes,34.5%,51.6%,2.3%,5.5%,6.1%
128,91202,23552,15731,303,15,3579,10,48,802,2342,87.0%,,17.6%,6.7%,27.4 minutes,34.5%,50.1%,1.4%,6.6%,7.3%
129,91203,14252,7826,175,29,2276,5,19,578,2312,85.2%,,9.3%,7.7%,26.7 minutes,31.4%,50.4%,3.6%,6.6%,8.0%
130,91204,17934,7013,282,33,2939,17,34,352,5362,78.7%,,7.9%,6.9%,27.6 minutes,38.5%,45.6%,2.8%,6.8%,6.3%
131,91205,38204,20989,470,20,5543,11,69,1109,9599,79.5%,,9.2%,8.8%,28.0 minutes,35.7%,46.5%,2.2%,7.1%,8.4%
132,91206,34738,20743,498,35,5701,31,58,1177,4822,87.6%,,14.5%,7.4%,27.7 minutes,34.0%,49.2%,1.1%,7.0%,8.7%
133,91208,17426,11212,110,12,2593,3,21,520,1774,98.5%,,24.0%,3.1%,30.2 minutes,25.5%,61.3%,1.2%,5.9%,6.2%
134,91214,31378,17707,176,44,8190,14,44,861,3320,96.0%,,18.9%,3.8%,31.4 minutes,30.5%,55.1%,1.8%,4.8%,7.8%
135,91301,26380,20204,318,34,1817,24,54,712,2325,96.8%,,22.2%,3.7%,30.4 minutes,29.6%,54.0%,1.5%,4.0%,10.9%
136,91302,26277,20681,418,43,2025,7,78,836,1621,99.6%,,33.7%,4.5%,33.0 minutes,26.5%,57.8%,2.3%,3.3%,10.2%
137,91303,30093,5958,1033,44,2766,42,85,511,16416,69.0%,,6.6%,5.2%,28.0 minutes,45.7%,41.1%,2.6%,3.3%,7.2%
138,91304,53604,19471,2384,87,6655,60,115,1299,20160,81.3%,,9.0%,5.4%,29.6 minutes,36.3%,46.0%,2.9%,5.4%,9.5%
139,91306,49746,12527,1924,66,7951,39,135,1049,21370,76.8%,,6.4%,6.4%,32.1 minutes,39.4%,45.3%,2.9%,3.9%,8.6%
140,91307,27086,16413,678,31,3131,15,45,838,3323,94.8%,,17.5%,6.1%,31.9 minutes,27.8%,54.9%,1.7%,5.7%,9.9%
141,91311,39030,19873,1475,95,5959,52,91,1078,7934,92.6%,,14.9%,4.7%,31.9 minutes,33.7%,48.7%,1.6%,5.5%,10.5%
142,91316,29907,19625,929,33,1609,28,49,1277,3348,95.1%,,19.9%,8.1%,32.8 minutes,30.7%,49.3%,2.4%,5.2%,12.4%
143,91321,35161,15052,907,102,2053,51,86,697,15934,79.1%,,8.0%,7.4%,28.7 minutes,36.2%,45.8%,1.9%,5.9%,10.3%
144,91324,30114,10655,1252,49,4818,42,86,757,10010,87.8%,,10.7%,4.6%,30.1 minutes,40.0%,44.7%,2.1%,5.1%,8.1%
145,91325,34039,13667,1732,51,5409,73,120,936,10429,90.5%,,14.7%,5.3%,31.4 minutes,44.6%,41.9%,1.6%,4.7%,7.2%
146,91326,36686,16979,1087,37,9926,26,101,1048,4504,94.2%,,22.8%,4.7%,36.0 minutes,26.7%,59.6%,1.6%,5.8%,6.3%
147,91335,81310,22785,2685,139,9035,64,230,1819,37606,74.4%,,6.5%,5.5%,31.3 minutes,39.3%,42.7%,2.7%,5.9%,9.4%
148,91340,36192,1579,544,85,327,20,27,154,31452,60.2%,,2.6%,6.7%,28.7 minutes,42.8%,44.6%,2.9%,3.8%,5.8%
149,91342,96587,12864,4113,269,4879,49,173,934,68444,69.4%,,5.2%,6.2%,32.8 minutes,40.4%,45.2%,3.0%,4.0%,7.4%
150,91343,65245,12730,2406,71,8417,89,187,916,35438,73.7%,,6.2%,7.2%,33.1 minutes,40.7%,44.7%,3.0%,4.6%,7.0%
151,91344,54054,24629,1676,78,8914,40,162,1407,14841,90.2%,,13.0%,5.9%,32.4 minutes,32.7%,52.5%,1.7%,6.0%,7.2%
152,91345,19032,3471,611,48,1716,28,54,239,12329,73.3%,,3.8%,7.7%,30.4 minutes,36.1%,45.6%,3.9%,6.9%,7.4%
153,91350,37936,20731,864,94,3021,40,96,866,7636,93.8%,,11.7%,5.7%,35.0 minutes,31.3%,55.6%,1.3%,3.6%,8.3%
154,91351,33723,14691,1178,83,2212,47,109,880,13162,84.1%,,7.3%,7.0%,34.8 minutes,37.7%,46.9%,1.5%,4.5%,9.4%
155,91352,47754,8132,718,85,2947,69,91,451,35314,64.9%,,3.5%,7.3%,29.8 minutes,42.4%,43.1%,2.2%,4.8%,7.6%
156,91355,33604,21538,861,67,3414,31,96,886,5712,96.0%,,15.6%,5.2%,32.9 minutes,31.8%,51.7%,2.3%,4.4%,9.9%
157,91356,30154,20852,1212,50,1889,44,73,1249,4089,94.1%,,18.3%,5.0%,35.7 minutes,31.2%,48.9%,2.9%,5.4%,11.5%
158,91362,36376,25961,472,46,3206,28,68,888,5376,96.0%,,23.7%,6.5%,25.9 minutes,29.9%,53.6%,1.5%,4.5%,10.5%
159,91364,28002,19467,981,38,1617,15,74,1137,2522,96.3%,,19.4%,5.3%,33.7 minutes,28.2%,52.4%,2.3%,6.0%,11.1%
160,91367,42926,26753,1757,88,4839,52,101,1534,4375,97.6%,,19.5%,5.4%,30.7 minutes,30.9%,49.7%,1.9%,5.7%,11.8%
161,91381,21088,10842,652,57,4753,26,61,676,3091,97.4%,,21.1%,6.2%,36.9 minutes,29.2%,56.7%,2.4%,3.9%,7.8%
162,91401,41607,17883,1635,69,2067,25,123,808,16675,79.5%,,9.4%,6.4%,32.8 minutes,42.3%,41.8%,2.6%,4.2%,9.0%
